FeedbackID,ProductID,CustomerID,FeedbackScore,FeedbackDate
1,1,1,4.50,05/05/23
2,2,2,3.80,04/06/23
3,3,3,4.20,04/07/23
,4,4,four-comma-seven,eleven March 2023
5,5,5,4.00,04/09/23
6,6,6,4.10,04/10/23
7,7,7,3.70,04/11/23
8,8,8,3.20,04/12/23
,9,9,3.9,13/04/2023
10,10,10,4.50,04/14/23
11,11,11,4.20,04/16/23
12,12,12,3.80,04/16/23
13,13,13,4.00,04/17/23
14,14,14,4.40,04/18/23
15,15,15,4.20,04/19/23
16,16,16,4.10,04/20/23
17,17,17,4.30,04/21/23
18,18,18,3.90,04/22/23
19,19,19,4.50,04/23/23
20,20,20,4.00,04/24/23
21,21,21,3.80,04/25/23
22,22,22,4.20,04/26/23
23,23,23,3.70,04/27/23
24,24,24,4.30,04/28/23
25,25,25,4.40,04/29/23
26,26,26,4.00,04/30/23
27,27,27,3.90,05/01/23
28,28,28,4.10,05/02/23
29,29,29,3.50,05/03/23
30,30,30,4.20,05/04/23
31,31,31,4.40,05/05/23
32,32,32,3.80,05/06/23
33,33,33,4.00,05/07/23
34,34,34,3.70,05/08/23
35,35,35,4.20,05/09/23
36,36,36,3.90,05/10/23
37,37,37,4.30,05/11/23
38,38,38,4.10,05/12/23
39,39,39,3.50,05/13/23
40,40,40,4.20,05/14/23
41,41,41,4.40,05/15/23
42,42,42,3.80,05/16/23
43,43,43,4.00,05/17/23
44,44,44,3.70,05/18/23
45,45,45,4.20,05/19/23
46,46,46,3.90,05/20/23
47,47,47,4.30,05/21/23
48,48,48,4.10,05/22/23
49,49,49,3.50,05/23/23
50,50,50,4.20,05/24/23
51,51,51,4.40,05/25/23
52,52,52,3.80,05/26/23
